age,sex,actual
36,F,0.61
37,F,0.68
38,F,0.75
39,F,0.8
40,F,0.84
41,F,0.88
42,F,0.91
43,F,0.94
44,F,0.99
45,F,1.04
46,F,1.09
47,F,1.15
48,F,1.26
49,F,1.36
50,F,1.46
51,F,1.57
52,F,1.69
53,F,1.84
54,F,2.02
55,F,2.23
56,F,2.46
57,F,2.71
58,F,2.99
59,F,3.29
60,F,3.63
61,F,4.04
62,F,4.45
63,F,4.97
64,F,5.55
65,F,6.21
66,F,6.92
67,F,7.68
68,F,8.46
69,F,9.29
70,F,10.16
71,F,11.22
72,F,12.41
73,F,13.76
74,F,15.34
75,F,17
76,F,18.86
77,F,20.97
78,F,22.95
79,F,25.45
80,F,28.89
81,F,32.83
82,F,38.04
83,F,42.51
84,F,47.74
85,F,53.93
86,F,61.85
87,F,70.12
88,F,78.72
89,F,88.6
90,F,99.45
91,F,111.2
92,F,123.55
93,F,136.78
94,F,150.94
95,F,165.14
96,F,180.27
97,F,199.02
98,F,219.45
99,F,241.54
100,F,264.9
101,F,289.19
102,F,313.3
103,F,337.47
104,F,361.33
105,F,384.5
106,F,406.6
107,F,427.26
108,F,446.11
109,F,462.77
36,M,0.96
37,M,1
38,M,1.03
39,M,1.1
40,M,1.16
41,M,1.24
42,M,1.31
43,M,1.39
44,M,1.45
45,M,1.49
46,M,1.52
47,M,1.6
48,M,1.7
49,M,1.81
50,M,1.96
51,M,2.12
52,M,2.3
53,M,2.49
54,M,2.7
55,M,2.93
56,M,3.21
57,M,3.55
58,M,3.94
59,M,4.44
60,M,4.94
61,M,5.45
62,M,6.04
63,M,6.67
64,M,7.32
65,M,8.03
66,M,8.84
67,M,9.76
68,M,10.79
69,M,11.86
70,M,13.05
71,M,14.55
72,M,16.31
73,M,18.39
74,M,20.77
75,M,23.13
76,M,25.97
77,M,28.87
78,M,31.92
79,M,35.17
80,M,39.44
81,M,43.53
82,M,48.5
83,M,53.45
84,M,61.12
85,M,68.67
86,M,77.49
87,M,87.52
88,M,100.46
89,M,113.47
90,M,127.45
91,M,142.24
92,M,157.34
93,M,172.35
94,M,187.18
95,M,200.98
96,M,213.17
97,M,229.28
98,M,246.55
99,M,265.47
100,M,285.65
101,M,306.7
102,M,328.25
103,M,350.02
104,M,371.65
105,M,392.79
106,M,413.05
107,M,432.08
108,M,449.51
109,M,464.98
